epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,172.827,1.2171,1.54669,0.99169,0.91747,0.87782,0.93304,0.63375,1.0701,0.57269,0.95635,0.0670604,0.000332723,0.000332723
2,335.112,1.11028,0.64909,0.9379,0.95105,0.91917,0.96449,0.67378,0.99482,0.51854,0.93491,0.0340473,0.000652868,0.000652868
3,495.296,1.09264,0.60131,0.92661,0.94908,0.9284,0.96929,0.69264,0.98724,0.50518,0.92986,0.00102086,0.000959814,0.000959814
4,654.3,1.07008,0.57947,0.91502,0.94394,0.93361,0.97327,0.69252,0.98465,0.50271,0.92863,0.0009406,0.0009406,0.0009406
5,813.447,1.03887,0.5512,0.90879,0.94707,0.94175,0.97402,0.70584,0.98062,0.4788,0.92602,0.0009208,0.0009208,0.0009208
6,973.195,1.0293,0.53666,0.90443,0.94235,0.95583,0.97825,0.71201,0.97884,0.4779,0.92466,0.000901,0.000901,0.000901
7,1133.12,1.00961,0.51877,0.89671,0.9522,0.93603,0.97355,0.71091,0.98138,0.48092,0.9266,0.0008812,0.0008812,0.0008812
8,1292.83,1.00153,0.5112,0.89873,0.93992,0.94455,0.97428,0.71114,0.97889,0.4773,0.92959,0.0008614,0.0008614,0.0008614
9,1452.51,0.98795,0.49945,0.8952,0.9527,0.9466,0.97728,0.71321,0.99242,0.47201,0.92842,0.0008416,0.0008416,0.0008416
10,1611.95,0.98077,0.49049,0.88925,0.9407,0.95113,0.9759,0.70813,0.97694,0.47548,0.92564,0.0008218,0.0008218,0.0008218
11,1771.82,0.97675,0.49168,0.88994,0.95113,0.94267,0.97536,0.70898,0.99985,0.4709,0.92587,0.000802,0.000802,0.000802
12,1931.77,0.95571,0.47617,0.88511,0.94503,0.95395,0.97688,0.71723,0.97355,0.45275,0.92636,0.0007822,0.0007822,0.0007822
13,2092.19,0.94094,0.47085,0.87997,0.95104,0.94941,0.97582,0.71881,0.9729,0.45898,0.92343,0.0007624,0.0007624,0.0007624
14,2252,0.93761,0.46599,0.88031,0.9418,0.95815,0.97831,0.72037,0.97643,0.46905,0.92608,0.0007426,0.0007426,0.0007426
15,2412.02,0.93531,0.45923,0.88552,0.94143,0.94831,0.97609,0.7185,0.97013,0.45085,0.92756,0.0007228,0.0007228,0.0007228
16,2571.83,0.9226,0.45627,0.8807,0.95337,0.95395,0.97939,0.71615,0.96995,0.46108,0.92154,0.000703,0.000703,0.000703
17,2731.33,0.90469,0.44507,0.87997,0.94382,0.96319,0.97942,0.72377,0.96142,0.44631,0.92237,0.0006832,0.0006832,0.0006832
18,2890.81,0.89858,0.44073,0.87167,0.94924,0.96053,0.9792,0.72064,0.97817,0.43897,0.92489,0.0006634,0.0006634,0.0006634
19,3050.32,0.89527,0.43705,0.87436,0.94586,0.9523,0.9785,0.71696,0.95861,0.44348,0.92225,0.0006436,0.0006436,0.0006436
20,3213.18,0.90504,0.43838,0.87397,0.94846,0.95129,0.97802,0.72869,0.97463,0.44758,0.92627,0.0006238,0.0006238,0.0006238
21,3372.72,0.88583,0.43103,0.87277,0.9509,0.95489,0.97496,0.72859,0.93972,0.44051,0.9207,0.000604,0.000604,0.000604
22,3531.93,0.88795,0.43175,0.87084,0.95506,0.95863,0.98034,0.73362,0.95749,0.43348,0.92486,0.0005842,0.0005842,0.0005842
23,3691.07,0.86726,0.42184,0.86788,0.9542,0.95301,0.97907,0.7293,0.95973,0.43008,0.92664,0.0005644,0.0005644,0.0005644
24,3850.06,0.86435,0.41827,0.86672,0.95674,0.95624,0.97986,0.73406,0.94712,0.42932,0.92421,0.0005446,0.0005446,0.0005446
25,4008.9,0.85379,0.41447,0.86567,0.95419,0.95489,0.97906,0.73597,0.95305,0.4325,0.92703,0.0005248,0.0005248,0.0005248
26,4167.93,0.85852,0.41063,0.8646,0.95202,0.95103,0.97494,0.73093,0.95007,0.42885,0.92137,0.000505,0.000505,0.000505
27,4327.22,0.85156,0.40805,0.86456,0.95115,0.95156,0.97823,0.73647,0.95945,0.44243,0.92454,0.0004852,0.0004852,0.0004852
28,4486.46,0.84674,0.40856,0.86267,0.94978,0.95395,0.97729,0.72873,0.96224,0.42492,0.92475,0.0004654,0.0004654,0.0004654
29,4645.33,0.83836,0.40519,0.86235,0.95208,0.95241,0.97852,0.73391,0.95635,0.43022,0.92303,0.0004456,0.0004456,0.0004456
30,4804.12,0.82622,0.39836,0.85688,0.94973,0.95887,0.97769,0.73462,0.94826,0.42768,0.92359,0.0004258,0.0004258,0.0004258
31,4963.39,0.82535,0.39691,0.86082,0.96007,0.94914,0.97872,0.73712,0.95085,0.42635,0.92251,0.000406,0.000406,0.000406
32,5121.67,0.80738,0.38608,0.8574,0.9499,0.95677,0.97669,0.73348,0.95943,0.43243,0.92465,0.0003862,0.0003862,0.0003862
33,5281.27,0.8027,0.38672,0.85244,0.95251,0.96142,0.98077,0.7307,0.95308,0.42464,0.92743,0.0003664,0.0003664,0.0003664
34,5440.96,0.81378,0.39047,0.85632,0.95053,0.95713,0.97757,0.72678,0.96379,0.42527,0.9287,0.0003466,0.0003466,0.0003466
35,5601.05,0.81003,0.38533,0.8534,0.95403,0.95573,0.97683,0.7338,0.9546,0.4251,0.92629,0.0003268,0.0003268,0.0003268
36,5760.35,0.7993,0.38235,0.85408,0.961,0.94957,0.97926,0.73255,0.95582,0.41574,0.92902,0.000307,0.000307,0.000307
37,5919.99,0.78556,0.3745,0.84997,0.95503,0.95805,0.97806,0.72818,0.97608,0.42731,0.93026,0.0002872,0.0002872,0.0002872
38,6078.92,0.79051,0.37253,0.85033,0.95592,0.95791,0.97993,0.73144,0.95647,0.41995,0.92791,0.0002674,0.0002674,0.0002674
